V1	V2	V3
CAGL0B05027r	tRNA|Uncharacterized	NULL
CAGL0B05049g	ORF|Uncharacterized	NULL
CAGL0B05093g	pseudogene	NULL
CAGL0B05126g	ORF|Uncharacterized	NULL
CAGL0B05137g	ORF|Uncharacterized	NULL
CAGL0B05148g	ORF|Uncharacterized	NULL
CAGL0C00110g	ORF|Verified	NULL
CAGL0C00209g	ORF|Verified	NULL
CAGL0C00231g	ORF|Uncharacterized	NULL
CAGL0C00253g	ORF|Uncharacterized	NULL
CAGL0C00275g	ORF|Verified	NULL
CAGL0C00297g	ORF|Uncharacterized	NULL
CAGL0C00319g	ORF|Uncharacterized	NULL
CAGL0C00341g	ORF|Uncharacterized	NULL
CAGL0C00363g	ORF|Verified	NULL
CAGL0C00385g	ORF|Uncharacterized	NULL
CAGL0C00407g	ORF|Uncharacterized	NULL
CAGL0C00429g	ORF|Uncharacterized	NULL
CAGL0C00451g	ORF|Uncharacterized	NULL
CAGL0C00473g	ORF|Uncharacterized	NULL
CAGL0C00495g	ORF|Uncharacterized	NULL
CAGL0C00517g	ORF|Uncharacterized	NULL
CAGL0C00539g	ORF|Uncharacterized	NULL
CAGL0C00561g	ORF|Uncharacterized	NULL
CAGL0C00583g	ORF|Uncharacterized	NULL
CAGL0C00605g	ORF|Uncharacterized	NULL
CAGL0C00627g	ORF|Uncharacterized	NULL
CAGL0C00649g	ORF|Uncharacterized	NULL
CAGL0C00671g	ORF|Uncharacterized	NULL
CAGL0C00693g	ORF|Uncharacterized	NULL
CAGL0C00715g	ORF|Uncharacterized	NULL
CAGL0C00737g	ORF|Uncharacterized	NULL
CAGL0C00759g	ORF|Uncharacterized	NULL
CAGL0C00781g	ORF|Uncharacterized	NULL
CAGL0C00847g	ORF|Uncharacterized	NULL
CAGL0C00946g	ORF|Uncharacterized	NULL
CAGL0C00968g	ORF|Uncharacterized	NULL
CAGL0C01056g	ORF|Uncharacterized	NULL
CAGL0C01067g	pseudogene	NULL
CAGL0C01078g	ORF|Uncharacterized	NULL
